season,pace,lg
1950,,NBA
1951,97.43333333333334,NBA
1952,95.11818181818181,NBA
1953,92.4090909090909,NBA
1954,90.01,NBA
1955,102.88888888888889,NBA
1956,108.78888888888889,NBA
1957,111.12222222222222,NBA
1958,119.69999999999999,NBA
1959,118.92222222222222,NBA
1960,126.07777777777778,NBA
1961,127.65555555555557,NBA
1962,126.22999999999999,NBA
1963,119.58,NBA
1964,116.84,NBA
1965,117.34,NBA
1966,121.44000000000001,NBA
1967,121.6,NBA
1968,119.80000000000001,NBA
1969,116.9,NBA
1970,117.06666666666666,NBA
1971,115.13333333333334,NBA
1972,112.00555555555555,NBA
1973,110.6888888888889,NBA
1974,107.80000000000001,NBA
1975,104.47894736842105,NBA
1976,105.55263157894737,NBA
1977,106.49565217391304,NBA
1978,106.72608695652173,NBA
1979,105.77826086956522,NBA
1980,103.07391304347826,NBA
1981,101.825,NBA
1982,100.875,NBA
1983,103.05833333333334,NBA
1984,101.425,NBA
1985,102.11666666666667,NBA
1986,102.12916666666666,NBA
1987,100.80833333333334,NBA
1988,99.58333333333333,NBA
1989,100.63846153846154,NBA
1990,98.32857142857142,NBA
1991,97.82857142857142,NBA
1992,96.64642857142857,NBA
1993,96.77142857142857,NBA
1994,95.09642857142856,NBA
1995,92.91071428571429,NBA
1996,91.81,NBA
1997,90.13333333333334,NBA
1998,90.28666666666666,NBA
1999,88.91666666666667,NBA
2000,93.08999999999999,NBA
2001,91.25333333333333,NBA
2002,90.70333333333333,NBA
2003,90.99333333333334,NBA
2004,90.1,NBA
2005,90.9258064516129,NBA
2006,90.52903225806452,NBA
2007,91.91935483870968,NBA
2008,92.38709677419355,NBA
2009,91.65806451612903,NBA
2010,92.73870967741935,NBA
2011,92.08064516129032,NBA
2012,91.2741935483871,NBA
2013,92.0,NBA
2014,93.9483870967742,NBA
2015,93.90322580645162,NBA
2016,95.7741935483871,NBA
2017,96.4,NBA
2018,97.3258064516129,NBA
2019,100.03548387096774,NBA
2020,100.30967741935484,NBA
2021,99.18064516129031,NBA
2022,98.2258064516129,NBA
2023,99.14838709677419,NBA
2024,98.51290322580645,NBA
2025,98.84516129032258,NBA
2026,99.43225806451613,NBA
